"tempo","jm","mv","me","md","jv","vv","ve","vd","pbm","pbe","pbv","bm","be","bv","bxtm","bxte","bxtv","tpm","tpe","tpv","npm","npv","nem","nev","sgm","sgv","r"
20200926,18,0.6500,0.2000,0.1500,19,0.3810,0.3333,0.2857,0.4679,0.2667,0.2655,0.6000,0.2154,0.1846,0.6388,0.1331,0.2281,0.5974,0.2560,0.1466,0.8824,0.7222,0.8235,0.6667,25,-5,1
20200927,14,0.5625,0.3750,0.0625,18,0.7000,0.1000,0.2000,0.3813,0.2375,0.3813,0.5806,0.1935,0.2258,0.5454,0.1818,0.2728,0.4056,0.2839,0.3105,1.0000,0.8235,0.6154,0.9412,14,-9,0
20200927,20,0.5000,0.3182,0.1818,13,0.4000,0.2667,0.3333,0.4167,0.2925,0.2909,0.5140,0.2617,0.2243,0.6687,0.2230,0.1083,0.6250,0.2343,0.1406,0.8421,0.6667,0.6842,0.7500,11,-2,0
20200927,17,0.3684,0.4737,0.1579,16,0.3889,0.2222,0.3889,0.3787,0.3480,0.2734,0.4623,0.3396,0.1981,0.3711,0.4639,0.1649,0.3191,0.3989,0.2820,0.8750,0.6000,0.5000,0.8000,8,-6,0
20200927,16,0.4444,0.2222,0.3333,13,0.2000,0.4000,0.4000,0.4222,0.3111,0.2667,0.5333,0.2667,0.2000,0.5106,0.1702,0.3192,0.3846,0.2638,0.3516,0.6667,0.5833,0.8000,0.5833,3,6,0
20200927,14,0.5625,0.2500,0.1875,17,0.1053,0.5789,0.3158,0.4392,0.4145,0.1464,0.5192,0.4230,0.0577,0.2991,0.5983,0.1026,0.4213,0.3744,0.2042,0.8462,0.6875,0.7692,0.3750,22,10,0
20200928,20,0.5000,0.2273,0.2727,15,0.3529,0.2353,0.4118,0.4559,0.2313,0.3128,0.5790,0.1504,0.2706,0.6281,0.2283,0.1436,0.4706,0.2941,0.2353,0.7368,0.5714,0.7895,0.7857,15,2,1
20200930,14,0.5625,0.2500,0.1875,20,0.3636,0.3182,0.3182,0.4404,0.2841,0.2756,0.5478,0.2435,0.2087,0.6552,0.2495,0.0953,0.3963,0.3567,0.2470,0.8462,0.6842,0.7692,0.6842,9,-4,2
20200930,15,0.4706,0.3529,0.1765,13,0.4000,0.2000,0.4000,0.4353,0.2765,0.2883,0.5714,0.2143,0.2143,0.3166,0.1847,0.4987,0.4364,0.2727,0.2909,0.8571,0.5833,0.6429,0.8333,8,2,0
20201003,17,0.4737,0.3158,0.2105,18,0.3000,0.4500,0.2500,0.3619,0.3829,0.2553,0.3659,0.4390,0.1951,0.2299,0.3104,0.4597,0.3846,0.4615,0.1538,0.8125,0.7647,0.6875,0.5294,12,-3,0
20201003,14,0.5625,0.1250,0.3125,15,0.2353,0.2941,0.4706,0.5166,0.2096,0.2739,0.7059,0.0980,0.1961,0.3333,0.2500,0.4167,0.4962,0.0904,0.4134,0.6923,0.5000,0.9231,0.7143,10,2,0
20201003,16,0.5556,0.3889,0.0556,18,0.6000,0.1500,0.2500,0.4028,0.2695,0.3278,0.6024,0.2530,0.1447,0.4667,0.2222,0.3111,0.4023,0.1150,0.4827,1.0000,0.7647,0.6000,0.8824,19,-13,1
20201004,15,0.5294,0.2353,0.2353,16,0.3889,0.1667,0.4444,0.4869,0.2010,0.3121,0.6428,0.1072,0.2500,0.6869,0.2289,0.0841,0.5132,0.2815,0.2053,0.7857,0.5333,0.7857,0.8667,8,-2,0
20201004,14,0.7500,0.1250,0.1250,14,0.3125,0.3750,0.3125,0.5313,0.2500,0.2188,0.7317,0.1463,0.1220,0.3752,0.2573,0.3675,0.5686,0.1329,0.2985,0.9231,0.6923,0.9231,0.6154,22,-2,1
20201004,16,0.6667,0.1667,0.1667,14,0.3750,0.2500,0.3750,0.5209,0.2084,0.2709,0.7059,0.1177,0.1765,0.7042,0.1315,0.1643,0.8259,0.0708,0.1033,0.8667,0.6154,0.8667,0.7692,20,2,0
20201004,12,0.4286,0.2857,0.2857,15,0.4118,0.1765,0.4118,0.4202,0.2311,0.3488,0.5122,0.1463,0.3414,0.3333,0.2000,0.4667,0.2308,0.3077,0.4615,0.7273,0.5714,0.7273,0.8571,4,3,2
20201004,15,0.5294,0.1765,0.2941,15,0.2941,0.2353,0.4706,0.5000,0.2059,0.2941,0.6606,0.1101,0.2293,0.6429,0.0714,0.2857,0.5290,0.1008,0.3703,0.7143,0.5000,0.8571,0.7857,13,2,0
20201004,20,0.5000,0.2273,0.2727,17,0.2105,0.3684,0.4211,0.4606,0.2979,0.2416,0.5987,0.2381,0.1632,0.5418,0.3950,0.0632,0.4615,0.3461,0.1923,0.7368,0.5625,0.7895,0.6250,10,4,2
20201004,15,0.6471,0.1765,0.1765,14,0.3750,0.1250,0.5000,0.5736,0.1508,0.2758,0.7857,0.0536,0.1607,0.3442,0.2342,0.4216,0.4690,0.1737,0.3573,0.8571,0.4615,0.8571,0.9231,18,4,1
20201007,17,0.6316,0.2105,0.1579,17,0.4737,0.2632,0.2632,0.4474,0.2369,0.3158,0.5608,0.1869,0.2523,0.5714,0.0953,0.3333,0.4827,0.1150,0.4023,0.8750,0.7500,0.8125,0.7500,20,-4,1
20201007,16,0.5000,0.2778,0.2222,17,0.4211,0.4211,0.1579,0.3290,0.3495,0.3217,0.2727,0.4041,0.3232,0.4878,0.2195,0.2927,0.5185,0.3333,0.1482,0.8000,0.8750,0.7333,0.5625,8,-10,1
