"skm","skv","gm","gv","idm","mv","me","md","vv","ve","vd","sg","resp"
2725,2714,0,1,1,0,0,1,0,0,0,-1,v
1995,1438,2,1,0,0,0,0,0,0,1,-1,m
1835,335,1,0,1,1,0,0,0,0,0,1,m
370,666,1,1,0,0,0,0,0,1,0,0,e
602,2521,1,2,0,0,0,0,1,0,0,1,v
1808,1978,1,1,1,0,1,0,0,0,0,0,e
371,2738,2,0,1,1,0,0,0,0,0,2,m
2065,1052,1,2,0,0,0,0,1,0,0,1,v
305,184,1,4,0,0,0,0,1,0,0,3,v
1251,1928,0,1,0,0,0,0,1,0,0,1,v
1563,902,1,1,0,0,0,0,0,1,0,0,e
582,91,1,2,1,0,0,1,0,0,0,-1,v
23,2013,0,1,1,0,0,1,0,0,0,-1,v
2194,1664,0,2,1,0,0,1,0,0,0,-2,v
155,2152,0,1,0,0,0,0,1,0,0,1,v
198,2679,1,1,0,0,0,0,0,1,0,0,e
2424,1458,7,2,0,0,0,0,0,0,1,-5,m
1358,1836,1,1,0,0,0,0,0,1,0,0,e
2003,2008,2,5,0,0,0,0,1,0,0,3,v
2288,1823,3,1,1,1,0,0,0,0,0,2,m
28,1520,1,0,0,0,0,0,0,0,1,-1,m
78,2220,2,0,1,1,0,0,0,0,0,2,m
160,601,0,2,0,0,0,0,1,0,0,2,v
17,1228,1,1,1,0,1,0,0,0,0,0,e
2277,1230,5,1,0,0,0,0,0,0,1,-4,m
605,704,1,1,0,0,0,0,0,1,0,0,e
2843,433,0,6,1,0,0,1,0,0,0,-6,v
995,2209,0,1,1,0,0,1,0,0,0,-1,v
2828,1145,4,0,0,0,0,0,0,0,1,-4,m
2028,603,3,1,1,1,0,0,0,0,0,2,m
1362,2724,1,3,1,0,0,1,0,0,0,-2,v
1393,2635,2,1,1,1,0,0,0,0,0,1,m
922,925,0,1,0,0,0,0,1,0,0,1,v
2710,1358,3,0,1,1,0,0,0,0,0,3,m
771,849,2,0,0,0,0,0,0,0,1,-2,m
1695,132,1,1,0,0,0,0,0,1,0,0,e
1870,2614,2,0,1,1,0,0,0,0,0,2,m
2115,2387,2,0,1,1,0,0,0,0,0,2,m
2468,1781,2,0,0,0,0,0,0,0,1,-2,m
1100,637,1,1,0,0,0,0,0,1,0,0,e
1423,1008,2,2,1,0,1,0,0,0,0,0,e
2356,1635,0,3,0,0,0,0,1,0,0,3,v
560,2036,3,0,0,0,0,0,0,0,1,-3,m
1762,70,3,0,0,0,0,0,0,0,1,-3,m
364,1684,1,1,0,0,0,0,0,1,0,0,e
2136,2447,1,1,0,0,0,0,0,1,0,0,e
1448,1636,4,2,0,0,0,0,0,0,1,-2,m
2304,2691,0,0,0,0,0,0,0,1,0,0,e
1767,692,0,3,1,0,0,1,0,0,0,-3,v
1955,2809,2,1,1,1,0,0,0,0,0,1,m
1829,2820,3,1,1,1,0,0,0,0,0,2,m
645,1501,2,1,0,0,0,0,0,0,1,-1,m
1888,1708,1,3,0,0,0,0,1,0,0,2,v
162,205,1,2,1,0,0,1,0,0,0,-1,v
2519,1821,2,3,0,0,0,0,1,0,0,1,v
2368,1892,4,1,1,1,0,0,0,0,0,3,m
990,1610,2,2,0,0,0,0,0,1,0,0,e
